,director_name,Film,gross,genres,duration,plot_keywords,Year,Award,Name
0,James Cameron,Titanic,658672302.0,Drama|Romance,194.0,artist|love|ship|titanic|wet,1997,Actress in a Leading Role,Kate Winslet
1,James Cameron,Titanic,658672302.0,Drama|Romance,194.0,artist|love|ship|titanic|wet,1997,Actress in a Supporting Role,Gloria Stuart
2,Christopher Nolan,The Dark Knight,533316061.0,Action|Crime|Drama|Thriller,152.0,based on comic book|dc comics|psychopath|star died before release|urban setting,2008,Actor in a Supporting Role,Heath Ledger
3,David Fincher,The Curious Case of Benjamin Button,127490802.0,Drama|Fantasy|Romance,166.0,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,2008,Actor in a Leading Role,Brad Pitt
4,David Fincher,The Curious Case of Benjamin Button,127490802.0,Drama|Fantasy|Romance,166.0,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,2008,Actress in a Supporting Role,Taraji P. Henson
5,Edward Zwick,The Last Samurai,111110575.0,Action|Drama|History|War,154.0,captain|emperor|honor|japan|samurai,2003,Actor in a Supporting Role,Ken Watanabe
6,Breck Eisner,Sahara,68642452.0,Action|Adventure|Comedy|Thriller,124.0,beach|civil war|desert|dictator|ship,1943,Actor in a Supporting Role,J. Carrol Naish
7,Alejandro G. IÌ±ÌÁrritu,The Revenant,183635922.0,Adventure|Drama|Thriller|Western,156.0,bear attack|cauterizing a wound|native american|revenge|survival,2015,Actor in a Leading Role,Leonardo DiCaprio
8,Alejandro G. IÌ±ÌÁrritu,The Revenant,183635922.0,Adventure|Drama|Thriller|Western,156.0,bear attack|cauterizing a wound|native american|revenge|survival,2015,Actor in a Supporting Role,Tom Hardy
9,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,305388685.0,Action|Adventure|Fantasy,143.0,caribbean|curse|governor|pirate|undead,2003,Actor in a Leading Role,Johnny Depp
10,Alfonso CuarÌ_n,Gravity,274084951.0,Adventure|Drama|Sci-Fi|Thriller,91.0,box office hit|long take|sole survivor|space|space station,2013,Actress in a Leading Role,Sandra Bullock
11,Roland Emmerich,The Patriot,113330342.0,Action|Drama|History|War,142.0,american revolution|british|french|hero|standoff,1928/1929,Actor,Lewis Stone
12,Roland Emmerich,The Patriot,113330342.0,Action|Drama|History|War,142.0,american revolution|british|french|hero|standoff,1928/1929,Art Direction,Hans Dreier
13,Roland Emmerich,The Patriot,113330342.0,Action|Drama|History|War,142.0,american revolution|british|french|hero|standoff,1928/1929,Directing,Ernst Lubitsch
14,Roland Emmerich,The Patriot,113330342.0,Action|Drama|History|War,142.0,american revolution|british|french|hero|standoff,1928/1929,Outstanding Picture,Paramount Famous Lasky
15,Roland Emmerich,The Patriot,113330342.0,Action|Drama|History|War,142.0,american revolution|british|french|hero|standoff,1928/1929,Writing,Hans Kraly
16,Martin Scorsese,The Aviator,102608827.0,Biography|Drama,170.0,1920s|aviation|fight|spruce goose|test flight,2004,Actor in a Leading Role,Leonardo DiCaprio
17,Martin Scorsese,The Aviator,102608827.0,Biography|Drama,170.0,1920s|aviation|fight|spruce goose|test flight,2004,Actor in a Supporting Role,Alan Alda
18,Martin Scorsese,The Aviator,102608827.0,Biography|Drama,170.0,1920s|aviation|fight|spruce goose|test flight,2004,Actress in a Supporting Role,Cate Blanchett
19,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,313837577.0,Action|Adventure|Drama|Fantasy,171.0,elf|hobbit|middle earth|quest|ring,2001,Actor in a Supporting Role,Ian McKellen
20,Michael Mann,Ali,58183966.0,Biography|Drama|Sport,165.0,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,2001,Actor in a Leading Role,Will Smith
21,Michael Mann,Ali,58183966.0,Biography|Drama|Sport,165.0,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,2001,Actor in a Supporting Role,Jon Voight
22,Ridley Scott,The Martian,228430993.0,Adventure|Drama|Sci-Fi,151.0,astronaut|international cooperation|left for dead|nasa|space habitat,2015,Actor in a Leading Role,Matt Damon
23,Ridley Scott,Gladiator,187670866.0,Action|Drama|Romance,171.0,battlefield|blood|combat|gladiator|roman empire,2000,Actor in a Leading Role,Russell Crowe
24,Ridley Scott,Gladiator,187670866.0,Action|Drama|Romance,171.0,battlefield|blood|combat|gladiator|roman empire,2000,Actor in a Supporting Role,Joaquin Phoenix
25,Tim Burton,Planet of the Apes,180011740.0,Action|Adventure|Sci-Fi|Thriller,119.0,astronaut|cage|planet|wilhelm scream|year 2029,1968,Honorary Award,John Chambers
26,Tim Burton,Planet of the Apes,180011740.0,Action|Adventure|Sci-Fi|Thriller,119.0,astronaut|cage|planet|wilhelm scream|year 2029,1968,Honorary Award,John Chambers
27,Ridley Scott,American Gangster,130127620.0,Biography|Crime|Drama,176.0,death|heroin|popcorn|smuggling|vietnam,2007,Actress in a Supporting Role,Ruby Dee
28,Quentin Tarantino,Django Unchained,162804648.0,Drama|Western,165.0,dynamite|historically inaccurate|ku klux klan|n word|slavery,2012,Actor in a Supporting Role,Christoph Waltz
29,Edward Zwick,Blood Diamond,57366262.0,Adventure|Drama|Thriller,143.0,diamond|elephant|fisherman|rebel|sierra leone,2006,Actor in a Leading Role,Leonardo DiCaprio
30,Edward Zwick,Blood Diamond,57366262.0,Adventure|Drama|Thriller,143.0,diamond|elephant|fisherman|rebel|sierra leone,2006,Actor in a Supporting Role,Djimon Hounsou
